index,text
1,"Проведение инвентаризаций товаров продуктового магазина, подготовка и анализ инвентаризационных ведомостей, выяснение причин возникновения недостач товаров, подготовка отчетов для руководства
Проведение теоретических и практических занятий для студентов 2-3 курсов учебного заведения среднего-профессионального образования по экономическим и математическим (статистика) дисциплинам.
Разработка рабочих программ, учебных планов и других методических материалов.
Поиск и анализ подходящих аукционов и конкурсов, подготовка необходимой документации, подача заявок и непосредственное участие в процедуре закупки, заключение контрактов, подготовка отчетности руководителю, участие в исполнении заключенных контрактов
Ведение бухгалтерской и хозяйственной документации, регистрация курсантов автошколы в группы обучения, контроль качества работы инструкторов по вождению и преподавателей по теории.
Проведение теоретических занятий по ПДД"
2,"работоспособность, способность к длительной однообразной деятельности, знание специальных компьютерных программ
Составление штатных расписаний, тарификаций по обслуживаемым учреждениям (далее - учреждения).
Проверка табеля учета рабочего времени учреждений, приказов в соответствии со штатным расписанием и Положением об оплате труда учреждений.
Предоставление сведения по средней заработной плате педагогов, осуществление контроля за выполнением целевого значения заработной платы, соотношения заработной платы основного персонала и руководителей учреждений.
Составление сметы расходов учреждений.
Составление обоснований (расчетов) плановых показателей сметы расходов учреждений.
Ведение бюджетной сметы (внесение изменений показателей в бюджетную смету путём утверждения показателей - сумм увеличения или уменьшения объёмов сметных назначений.
Изменения показателей составляются по форме, к ним прилагаются обоснования (расчёты) плановых показателей - ежемесячно).
Осуществление передвижек лимитов бюджетных обязательств по целевым и экономическим статьям расходов в программе Finnkz, ""Парус"", ARM-заказчик по обслуживаемым учреждениям.
Оказание социальной помощи населению"
3,"Работа в стационаре + работа в поликлинике!
человек.
Плановые, экстренные операции по специальности хирургия, также операции по урологии, травматологии и нейрохирургии, в том числе и детской
операционным отделением-врач-хирург.
Плановые и экстренные операции по профилю хирургия.
Прошел обучение по лапароскопическим операциям.
| Владею лапароскопической холецистэктомией, аппендэктомией, герниопластикой, фундопликациии, и весь объем экстренных оперативных вмешательств.| Занимаюсь плановыми и внеплановыми закупками медицинского инструментация и оборудования для хирургических отделений стационара(также закупки по ВМП ОМС и бюджет)"
4,"Коммуникабельность, работоспособность, обладаю хорошими организаторскими способностями, ответственно отношусь к поставленным задачам
Контроль подготовки необходимой исполнительной и управленческой документации для реализации проекта, разработка отчетность по проекту.
Контроль исполнения договорных обязательств подрядчиками
Руководство группой инженеров по исполнительной документации для подтверждения объемов выполненных работ согласно формы КС-2 контролирующим службам Постановка приоритетных задач Решение спорных вопросов с заказчиком и техническим надзором.
Составление заявок на необходимые материалы и контроль их получения имею опыт работы в строительной лаборатории Получение протоколов испытаний, документов о качестве изделий.
Контроль договорных обязательств суб.
подрядных строительных организации"
5,"Работа с товаром и покупателями
Подержание чистоты в центре,обработка всех мед.инструментов
Упаковка кондитерских изделий
Приемка товара,оформление ветрин,работа с накладными,работа с поставщиками,обслуживание покупателей и расчет покупателей на кассе
Приемка товара,оформление ветрин,работа с покупателями и обслуживание их
Подержания чистоты и порядка на рабочем месте,работа с детьми
Выкладка товара,оформление ценников и ветрин,обслуживание покупателей и расчет"
6,"Большой опыт работы с документооборотом, имею знания работать в разных программах учёта и организации.
Уверенный пользователь ПК и д.р
Управление и организация работы магазина одежды.
Все функции директора
Набор, обучение и адаптация персонала.
Ведение всей документации торговой точки и взаимодействие с внешними организациями.
Полная отчётность
Реализация продукции в розничных и сетевых торговых точках"
7,"Руководство производственно-хозяйственной деятельностью участка.
Обеспечение выполнения производственных заданий.
Организация производства строительно-монтажных работ в соответствии с проектной документацией, строительными нормами и правилами, техническими условиями и другими нормативными документами.
Обеспечение соблюдения технологической последовательности производства строительно-монтажных работ на участке.
Составление заявок на строительные машины, транспорт, средства механизации, материалы, конструкции, детали, инструмент, инвентарь и обеспечение их эффективного использования.
Ведение учета выполненных работ, оформление технической документации.
Принятие строительных материалов, в т.ч.
бетон на соответствие строительных регламентов Ведение исполнительной документации.
Подсчет объемов работ.
Составление графиков производства работ.
Разработка проектов производства работ и технологических карт.
Составление и подписание актов скрытых работ.
Cоставление исполнительных чертежей.
Ведение деловой переписки и участие в совещаниях.
Анализ сметной и тендерной документации на экономическую целесообразность заключения договора.
Составление и подписание актов скрытых работ, актов приемки и прочих актов, графиков производства работ, разработка проектов производства работ на укладку наружных коммуникаций, забутовку футляров, технологических карт, формирование папки исполнительной документации, составление исполнительных чертежей наружных коммуникаций, схем для подтверждения объемов, открытие и закрытие ордеров"
8,"Вождение автомобиля, Высоко квалифицированный специалист
Общая организация работы в отделе (численность 13 человек)| Организация процесса сбора, идентификации, мониторинга и учета операционного риска| Организация подготовки оперативной и аналитической отчетности| Участие в коллегиальных органах и группах банка по вопросу управления операционным риском| Участие в централизованных проектах по развитию системы управления операционным риском"
9,"Знание строительных професий разной специальности.
Был аттестован по пожарной безопасности, правилам безопасной эксплуатации электро установок, охрана труда, подъемные краны, вышки.
Большой опыт общения с заказчиком разного уровня, техническим надзором в строительстве.
Навыки заполнения строительных журналов, актов на скрытые работы, оформления исполнительной документации.
Умею работать в команде и принимать самостоятельные решения.
Опыт руководства людьми.
Стремлюсь к профессиональному росту.
Чтение любых чертежей, смет в строительстве личные качества: стрессоустойчивость, коммуникабельность, исполнительность, честность хобби: садоводство, туризм"
10,"Владение оргтехникой.
Составление сметных расчетов на ремонт электрооборудования.
Общестроительные работы.
Ремонтные работы.
Подготовка документов для участия в тендере.
Составление и заключение договоров.
Составление дефектных ведомостей.
Согласование и утверждение проектно-сметной документации.
Ведение учета выполненных работ.
Выполнение форм КС-2,КС-3, М-29
1.Составление и заключение договоров.| 2.Составление дефектных ведомостей.| 3.Согласование и утверждение проектно-сметной документации.| 4.Проверка проектно-сметной документации.
2.
перевооружению промышленных объектов.| 5.Заключение и согласование договоров.
Составление пакета документов для закупочных процедур.
Согласование и утверждение проектно-сметной документации
Составление смет на: монтаж оборудования и трубопроводов, электромонтажные работы, общестроительные работы, ремонтные работы, капстроительство зданий и сооружений строительство двухпалубной яхты ""Ассоль"" от нуля до сдачи в эксплуатацию, ремонт яхты ""Флагман""."
11,"Умение вести переговоры, составлять договоры, анализировать рынок, выстраивать работу с поставщиками и клиентами
продажа продукции компании (комплектующие для автоматизации на производственных, горнодобывающих предприятиях)
продажа услуг авиакомпании
1.
Маркетинг и сбыт услуг по ремонту вертолетов.
2.
Руководство коммерческой службой завода.
3.
Организация и обеспечение работы с клиентами и заказчиками.
4.
Организация и обеспечение снабжения предприятия
обеспечение производства завода комплектующими изделиями, полуфабрикатами в соответствии с планом производства и стандартами предприятия.
обеспечение кооперации с предприятием-смежником по изготовлению полуфабрикатов для завода
продажа справочно-информационных систем ТЕХЭКСПЕРТ"
